Designator,Footprint,Quantity,Value,LCSC Part #
C1,SMD1210,1,100uF,C49066
C2,SMD0402,1,0.1uF,C1525
C3,SMD0805,1,15pF,C63339
U1,SMD3225,1,14.31818MHz,C252335
